index,date_start,date_end,date,era,event,Source,type
416,1429,1429,1429,Medieval,Jeanne d’Arc lifts the siege of Orléans for the Dauphin of France. This and following battles drive the English from the continent and allow the Dauphin to be crowned in Reims.,https://en.wikipedia.org/wiki/Joan_of_Arc,War & Conflict
417,1431-05,1431-05,30 May 1431,Medieval,Trial and execution of Jeanne d’Arc. Death of the woman who helped turn the Hundred Years' War in favor of the French over the past two years.,https://en.wikipedia.org/wiki/Joan_of_Arc,War & Conflict
418,1434,1434,1434,Medieval,"The Medici family rises to prominence in Florence. Over the next three centuries the Medicis are bankers, popes, queens (regents) and dukes, in Italy but also throughout Europe.",,Religion
419,1438,1438,1438,Medieval,Prince Cusi Yupanqui becomes the first Inca emperor. Inca civilization begins expanding and the Inca Empire is born.,,Politics & Power
420,1439,1439,1439,Medieval,The German goldsmith Johannes Gutenberg invents the movable-type printing press.,https://en.wikipedia.org/wiki/Printing_press,Science & Technology
421,1443,1443,1443,Medieval,"Sejong the Great creates Hangul, the Korean script still in use today.",,Politics & Power
422,1444-11,1444-11,10 November 1444,Medieval,"Battle of Varna Final battle of the Crusade of Varna, Ottomans are victorious over the Hungarian-Polish armies, and Władysław III of Poland dies.",,War & Conflict
423,1452,1452,1452,Medieval,"Coronation of Frederick III the first emperor of the House of Habsburg. He was the last Empor to be crowned in Rome, and second to last Emperor crowned by the Pope.","https://en.wikipedia.org/wiki/Frederick_III,_Holy_Roman_Emperor",Religion
424,1452,1452,1452,Renaissance,Leonardo da Vinci is born,https://www.thoughtco.com/renaissance-timeline-4158077,Politics & Power
425,1453,1453,1453,Medieval,Constantinople falls to the Ottoman Turks ending the Eastern Roman (Byzantine) Empire. Constantinople becomes the capital of the Ottoman Empire.,,Politics & Power
426,1453,1453,1453,Medieval,"The Hundred Years' War ends. England's once vast territory in France is now reduced to only Calais, which they eventually lose control of as well.",,War & Conflict
427,1454,1454,1454,Renaissance,Johannes Gutenberg published the Gutenberg Bible ,https://www.thoughtco.com/renaissance-timeline-4158077,Religion
428,1455-05,1455-05,22 May 1455,Medieval,Battle of St. Albans that traditionally marks the beginning of the War of the Roses.,,War & Conflict
429,1456,1456,1456,Medieval,"Siege of Belgrade, which marks the end of the Medieval Serbian state. Major Ottoman advances into Central Europe are halted for several decades — the last major victory for Hunyadi.",,War & Conflict
430,1461,1461,1461,Medieval,"The Empire of Trebizond, the last Roman outpost, falls to the Ottoman Turks.",,Politics & Power
431,1467,1467,1467–1477,Medieval,Ōnin War takes place in Japan. First of many significant civil wars between shogunates that would continue for many decades during the Muromachi period.,,War & Conflict
432,1469,1469,1469,Renaissance,"Lorenzo de Medici ""The Magnificent” takes over power in Florence. : his rule is considered the high point of the Florentine Renaissance. ",https://www.thoughtco.com/renaissance-timeline-4158077,Politics & Power
433,1471,1528,1471–1528,Renaissance,Life of Albrecht Dürer,https://en.wikipedia.org/wiki/Albrecht_Dürer,Politics & Power
434,1475,1475,1475,Medieval,The Khanate of Crimea is conquered and made a vassal state by the Ottoman Empire. Venice is defeated and the Ottoman Empire becomes master of the Aegean Sea.,,War & Conflict
435,1480,1480,1480,Early Modern,The last remaining stones of the abandoned Lighthouse of Alexandria are used to built the Citadel of Qaitbay.,https://en.wikipedia.org/wiki/Lighthouse_of_Alexandria,Politics & Power
436,1481,1481,1481,Renaissance,Construction of the Sistine Chapel is finished,https://en.wikipedia.org/wiki/Sistine_Chapel,Culture & Arts
437,1485,1485,1485,Medieval,"Thomas Malory composes Le Morte d'Arthur, the best-known work of Arthurian literature in English.",,Culture & Arts
438,1485-08,1485-08,22 August 1485,Medieval,Battle of Bosworth Field during which Richard III dies in battle.,,War & Conflict
439,1487-06-16,1487-06-16,16 June 1487,Medieval,The Battle of Stoke makes the end of the War of the Roses.,,War & Conflict
440,1492,1492,1492,Medieval,The Reconquista ends. This marks the end of the Moorish-Muslim rule on the Iberian Peninsula and leads to the Unification of Spain.,,Politics & Power
441,1492,1492,1492,Medieval,Christopher Columbus reaches the New World.,,Exploration
442,1494-06-10,1494-06-10,June 10 1494,Medieval,Spain and Portugal sign the Treaty of Tordesillas and agree to divide the World outside of Europe between themselves.,,Politics & Power
443,1494,1494,1494–1559,Medieval,The Italian Wars which eventually will lead to the downfall of the Italian city-states.,,War & Conflict
444,1497,1497,1497,Medieval,Vasco da Gama begins his first voyage from Europe to India and back. He was the first European to sail directly from Europe to Eastern Asia.,,Exploration
445,1499,1499,1499,Medieval,The Ottoman fleet defeats Venetians at the Battle of Zonchio. This marks the first naval battle that used cannons in ships. ,,War & Conflict
446,1509,1509,1509,Renaissance,Henry VIII came to power in England,https://www.thoughtco.com/renaissance-timeline-4158077,Politics & Power
447,1513,1513,1513,Renaissance,Niccolò Machiavelli wrote ‘The Prince’,https://www.thoughtco.com/renaissance-timeline-4158077,Politics & Power
448,1516,1516,1516,Renaissance,Thomas More wrote ‘Utopia’,https://www.thoughtco.com/renaissance-timeline-4158077,Politics & Power
449,1525,1525,1525,Renaissance,"The Battle of Pavia took place between France and the Holy Roman Empire, ending French claims on Italy ",https://www.thoughtco.com/renaissance-timeline-4158077,War & Conflict
450,1530,1530,1530,Renaissance, Charles V  become Holy Roman Emperor,https://www.thoughtco.com/renaissance-timeline-4158077,Politics & Power
451,1547,1547,1547,Renaissance,"Miguel de Cervantes, author of Don Quixote, is born in Alcalá de Henares, Spain.",https://www.thoughtco.com/renaissance-timeline-4158077,Politics & Power
452,1558-11,1558-11,17 November 1558,Renaissance,Elizabeth I “the Virgin Queen” was crowned queen ,https://en.wikipedia.org/wiki/Elizabeth_I,Politics & Power
453,1605,1605,1605,Renaissance,"William Shakespeare wrote ""Hamlet,""",https://www.thoughtco.com/renaissance-timeline-4158077,Politics & Power
454,1605,1615,"Part 1 in 1605, Part 2 in 1615",Renaissance,"Miguel Cervantes' ""Don Quixote"" was published. It is often labeled as the first modern novel",https://en.wikipedia.org/wiki/Don_Quixote,Culture & Arts
455,1789-07,1789-07,14 July 1789,Enlightenment,"Storming of the Bastille. Parisian crowds seize the royal fortress-prison, marking the symbolic beginning of the French Revolution.",https://en.wikipedia.org/wiki/Storming_of_the_Bastille,Science & Technology
457,1789-05,1799-05,5 May 1789 – 9 November 1799,Enlightenment,The French Revolution takes place,https://en.wikipedia.org/wiki/French_Revolution,Science & Technology
458,1789,1799,1789–1799,Modern,"The French Revolution. A period of radical political transformation in France, ending the monarchy, establishing the Republic, and giving rise to ideals of liberty, equality, and fraternity that shaped the modern world.",,Science & Technology
459,1791,1804,1791–1804,Modern,The Haitian Revolution. Enslaved people on the French colony of Saint-Domingue rise up under Toussaint Louverture. Haiti becomes the first Black republic and the only successful slave revolt in history.,,War & Conflict
460,1793,1794,1793–1794,Modern,"The Reign of Terror in France. The Committee of Public Safety, led by Robespierre, executes thousands of perceived enemies of the Revolution, including King Louis XVI and Queen Marie Antoinette.",,Science & Technology
461,1799-11,1799-11,9 November 1799,Modern,"Napoleon Bonaparte seizes power in the Coup of 18 Brumaire, becoming First Consul of France. He proceeds to reform French law, administration, and education, and will later crown himself Emperor.",,War & Conflict
462,1803,1803,1803,Modern,"The Louisiana Purchase. Napoleon sells the vast Louisiana Territory to the United States for approximately $15 million, roughly doubling the young nation's size and opening westward expansion.",,Politics & Power
463,1804,1804,1804,Modern,"Napoleon crowns himself Emperor of France in Notre-Dame Cathedral. That same year, Haiti declares independence, becoming the first nation founded by formerly enslaved people.",,Religion
464,1805-10,1805-10,21 October 1805,Modern,"Battle of Trafalgar. British Admiral Lord Nelson defeats the combined French and Spanish fleets off the coast of Spain, securing British naval supremacy. Nelson is mortally wounded in the victory.",,War & Conflict
465,1807,1807,1807,Modern,"The Slave Trade Act is passed by the British Parliament, abolishing the transatlantic slave trade throughout the British Empire. However, slavery itself remains legal until 1833.",,Politics & Power
466,1812,1812,1812,Modern,"Napoleon's Grande Armée invades Russia with over 600,000 troops. Facing harsh winter conditions and scorched-earth tactics, the campaign ends in catastrophic failure, with fewer than 100,000 soldiers returning.",,War & Conflict
467,1815-06,1815-06,18 June 1815,Modern,"Battle of Waterloo. Napoleon Bonaparte is decisively defeated by the Duke of Wellington and Prussian forces near Brussels, ending the Napoleonic Wars and Napoleon's rule for good. He is exiled to Saint Helena.",,War & Conflict
468,1815,1815,1815,Modern,"The Congress of Vienna reshapes the map of Europe after the Napoleonic Wars, establishing a new balance of power among the major European states that largely holds for a century.",,War & Conflict
469,1819,1825,1819–1825,Modern,"Latin American independence movements succeed across the continent. Simón Bolívar liberates much of northern South America, while José de San Martín frees Argentina, Chile, and Peru.",,Politics & Power
470,1821,1832,1821–1832,Modern,"Greek War of Independence. Greece revolts against Ottoman rule, gaining the support of Britain, France, and Russia. Greece is recognised as an independent state.",,War & Conflict
471,1825-09,1825-09,27 September 1825,Modern,"The Stockton and Darlington Railway opens in England — the world's first steam-powered public railway — marking the dawn of the railway age and transforming travel, trade, and industry.",,Politics & Power
472,1830,1830,1830,Modern,"Revolutions sweep Europe. In France, the July Revolution deposes King Charles X. Belgium gains independence from the Netherlands. Uprisings also occur in Poland and Italy.",,War & Conflict
473,1833,1833,1833,Modern,"The Slavery Abolition Act is passed in Britain, abolishing slavery throughout most of the British Empire and freeing approximately 800,000 enslaved people across the Caribbean and elsewhere.",,Politics & Power
474,1837,1901,1837–1901,Modern,Queen Victoria begins her reign in Britain. Her 63-year reign is one of the longest in British history and coincides with a period of industrial expansion and vast growth of the British Empire.,,Politics & Power
475,1839,1842,1839–1842,Modern,"The First Opium War. Britain defeats China, forcing the Treaty of Nanking which opens Chinese ports to trade and cedes Hong Kong Island to Britain, beginning a century of unequal treaties.",,War & Conflict
476,1845,1852,1845–1852,Modern,"The Great Famine in Ireland. A potato blight devastates the staple crop. Approximately one million people die of starvation and disease; another million emigrate, dramatically reducing Ireland's population.",,Politics & Power
477,1848,1848,1848,Modern,"The Year of Revolutions. Uprisings break out across France, Germany, Austria, Hungary, and Italy, challenging monarchies and demanding democratic reform. Karl Marx and Friedrich Engels publish The Communist Manifesto.",,War & Conflict
478,1853,1856,1853–1856,Modern,"The Crimean War. Britain, France, and Ottoman Turkey defeat Russia on the Crimean Peninsula in one of the first modern wars. Florence Nightingale pioneers modern nursing practices during the conflict.",,War & Conflict
479,1854,1854,1854,Modern,"Commodore Matthew Perry forces Japan to sign the Convention of Kanagawa, ending over two centuries of Japanese isolation and opening the country to Western trade and influence.",,Politics & Power
480,1859,1859,1859,Modern,"Charles Darwin publishes On the Origin of Species, establishing the theory of evolution by natural selection. The book transforms biology, challenges religious orthodoxy, and reshapes humanity's understanding of life.",,Science & Technology
481,1861,1865,1861–1865,Modern,"The American Civil War. Eleven Southern states secede from the Union over the issue of slavery. The conflict kills over 600,000 people and ends with the abolition of slavery and reunification of the nation.",,War & Conflict
482,1863-01,1863-01,1 January 1863,Modern,"President Abraham Lincoln issues the Emancipation Proclamation, declaring enslaved people in Confederate states to be legally free, transforming the Civil War into a fight explicitly for human freedom.",,War & Conflict
483,1865,1865,1865,Modern,The 13th Amendment to the US Constitution abolishes slavery throughout the United States. President Lincoln is assassinated by John Wilkes Booth at Ford's Theatre shortly after the Civil War's end.,,War & Conflict
484,1868,1868,1868,Modern,"The Meiji Restoration in Japan. Emperor Meiji reclaims political power from the shogunate, launching rapid industrialisation, modernisation, and Westernisation that transforms Japan into a major world power within decades.",,Politics & Power
485,1869-11,1869-11,17 November 1869,Modern,"The Suez Canal opens, connecting the Mediterranean Sea to the Red Sea. Built under French engineer Ferdinand de Lesseps, it dramatically reduces sailing distances between Europe and Asia.",,Politics & Power
486,1871-01,1871-01,18 January 1871,Modern,"The German Empire is proclaimed at the Palace of Versailles after Prussia defeats France in the Franco-Prussian War. Italy also completes its unification, with Rome as its capital.",,War & Conflict
487,1876,1876,1876,Modern,"Alexander Graham Bell is awarded the patent for the telephone, revolutionising long-distance communication and laying the groundwork for the modern telecommunications industry.",,Science & Technology
488,1879,1879,1879,Modern,"Thomas Edison demonstrates the first practical incandescent light bulb, transforming how cities and homes are illuminated and launching the era of electrical power generation and distribution.",,Politics & Power
489,1885,1885,1885,Modern,"Karl Benz builds the Benz Patent-Motorwagen, widely regarded as the first true automobile powered by a petrol engine, launching the age of motor transport.",,Politics & Power
490,1895,1895,1895,Modern,Wilhelm Röntgen discovers X-rays. The Lumière brothers give the first public cinema screening in Paris. Guglielmo Marconi demonstrates wireless radio telegraphy — a year of transformative inventions.,,Science & Technology
491,1898,1898,1898,Modern,"The Spanish-American War ends with Spain ceding Cuba, Puerto Rico, Guam, and the Philippines to the United States, marking the emergence of the US as a global imperial power.",,War & Conflict
492,1903-12,1903-12,17 December 1903,Contemporary,"Orville and Wilbur Wright make the first successful powered aeroplane flights at Kitty Hawk, North Carolina, launching the age of aviation and forever changing transportation and warfare.",,War & Conflict
493,1905,1905,1905,Contemporary,"Albert Einstein publishes his special theory of relativity and the photoelectric effect paper in his 'miracle year', revolutionising physics and our understanding of space, time, mass, and energy.",,Science & Technology
494,1908,1908,1908,Contemporary,"Henry Ford introduces the Model T, launching mass automobile production on an assembly line and transforming American society, industry, and the global economy.",,Politics & Power
495,1912-04,1912-04,15 April 1912,Contemporary,"The RMS Titanic sinks after striking an iceberg on its maiden voyage, killing over 1,500 people. The disaster prompts major reforms in maritime safety regulations.",,Exploration
496,1914-06,1914-06,28 June 1914,Contemporary,Assassination of Archduke Franz Ferdinand of Austria-Hungary in Sarajevo by Gavrilo Princip triggers a chain of alliances that plunges Europe into World War I.,,War & Conflict
497,1914,1918,1914–1918,Contemporary,"World War I. A catastrophic conflict involving most of Europe and beyond, fought primarily in trenches. Over 17 million people die. The war reshapes empires, borders, and the political order of the world.",,War & Conflict
498,1915,1915,1915,Contemporary,"The Armenian Genocide. The Ottoman government systematically deports and massacres Armenians, resulting in the deaths of an estimated 600,000 to 1.5 million people — one of the first genocides of the modern era.",,War & Conflict
499,1916,1916,1916,Contemporary,"Battle of the Somme. On the first day alone, the British Army suffers almost 60,000 casualties — the bloodiest day in British military history. The battle lasts five months with over one million total casualties.",,War & Conflict
500,1917,1917,1917,Contemporary,"The Russian Revolution. Tsar Nicholas II abdicates in February. In October, the Bolsheviks under Lenin seize power, establishing the world's first communist state and triggering a brutal civil war.",,War & Conflict
501,1918-11,1918-11,11 November 1918,Contemporary,"World War I ends with the Armistice. The defeated powers — Germany, Austria-Hungary, and the Ottoman Empire — lose territory and sovereignty. Over 17 million dead, reshaping the world order.",,War & Conflict
502,1918,1920,1918–1920,Contemporary,"The Spanish Flu pandemic infects around 500 million people worldwide and kills an estimated 20–50 million — one of the deadliest pandemics in human history, striking as World War I ends.",,War & Conflict
503,1919-06,1919-06,28 June 1919,Contemporary,"The Treaty of Versailles formally ends World War I, imposing harsh reparations and territorial losses on Germany. The League of Nations is founded to prevent future wars.",,War & Conflict
504,1920-08,1920-08,18 August 1920,Contemporary,"The 19th Amendment is ratified in the United States, granting women the right to vote. Women's suffrage movements had been campaigning for decades across the Western world.",,Politics & Power
505,1922,1922,1922,Contemporary,"The Soviet Union is formally established as the world's first communist federal state. Benito Mussolini's Fascist Party marches on Rome, making him Prime Minister of Italy.",,Politics & Power
506,1927-05,1927-05,20–21 May 1927,Contemporary,"Charles Lindbergh completes the first non-stop solo transatlantic flight, flying from New York to Paris in 33.5 hours in his aircraft Spirit of St. Louis.",,Politics & Power
507,1928,1928,1928,Contemporary,Alexander Fleming discovers penicillin after noticing that a mould had killed bacteria in a petri dish. The subsequent development of antibiotics transforms medicine and saves hundreds of millions of lives.,,Politics & Power
508,1929-10,1929-10,24 October 1929,Contemporary,"Wall Street Crash. Stock markets collapse on 'Black Thursday', triggering the Great Depression — the worst economic crisis of the 20th century, causing mass unemployment and poverty worldwide.",,Politics & Power
509,1933-01,1933-01,30 January 1933,Contemporary,"Adolf Hitler is appointed Chancellor of Germany. The Nazi regime quickly dismantles democracy, persecutes political opponents and Jewish people, and begins the process that leads to World War II and the Holocaust.",,War & Conflict
510,1936,1939,1936–1939,Contemporary,"The Spanish Civil War. Nationalist forces under General Franco, backed by Nazi Germany and Fascist Italy, defeat the Republican government. The war serves as a rehearsal for World War II.",,War & Conflict
511,1937,1937,1937,Contemporary,"Japan invades China, leading to the Nanjing Massacre in which Japanese forces kill an estimated 100,000–300,000 Chinese civilians and prisoners of war.",,War & Conflict
512,1938-11,1938-11,9–10 November 1938,Contemporary,"Kristallnacht ('Night of Broken Glass'). Nazi stormtroopers attack Jewish businesses, homes, and synagogues across Germany and Austria, signalling the escalation towards systematic persecution and genocide.",,Religion
513,1939,1945,1939–1945,Contemporary,"World War II. Germany invades Poland prompting Britain and France to declare war. The conflict expands to involve most of the world and results in an estimated 70–85 million deaths.",,War & Conflict
514,1940,1940,1940,Contemporary,"The Fall of France. Germany rapidly defeats France and the Low Countries. The Battle of Britain follows as the RAF defeats the Luftwaffe, preventing a German invasion of Britain.",,War & Conflict
515,1941-06,1941-06,22 June 1941,Contemporary,"Operation Barbarossa. Nazi Germany invades the Soviet Union in the largest military offensive in history, eventually leading to the bloodiest theatre of World War II and millions of Soviet deaths.",,War & Conflict
516,1941-12,1941-12,7 December 1941,Contemporary,"Japan launches a surprise attack on the US naval base at Pearl Harbor, Hawaii, destroying much of the American Pacific Fleet. The US declares war on Japan the next day, entering World War II.",,War & Conflict
517,1944-06,1944-06,6 June 1944,Contemporary,"D-Day landings at Normandy. Allied forces launch the largest seaborne invasion in history on the beaches of German-occupied France, opening the Western Front and beginning the liberation of Western Europe.",,War & Conflict
518,1945,1945,27 January 1945,Contemporary,"The Nazi concentration camp Auschwitz is liberated by the Soviets. Revealing the extend of the Holocaust during with six million Jewish people and millions of Roma, disabled, and political prisoners were systematically murdered.",,Religion
519,1945-05,1945-05,8 May 1945,Contemporary,"Victory in Europe (VE Day). Germany unconditionally surrenders, ending World War II in Europe. Hitler had died by suicide in his Berlin bunker days earlier.",,War & Conflict
520,1945-08,1945-08,6–9 August 1945,Contemporary,"The United States drops atomic bombs on the Japanese cities of Hiroshima and Nagasaki, killing an estimated 110,000–210,000 people. Japan surrenders, ending World War II.",,War & Conflict
521,1945-06,1945-06,26 June 1945,Post-War,"The United Nations is founded in San Francisco, with 51 member states signing the UN Charter. It replaces the failed League of Nations and aims to maintain international peace and security.",,Politics & Power
522,1946,1946,1946,Post-War,"The Nuremberg Trials. Nazi war criminals are prosecuted before an international military tribunal for crimes against peace, war crimes, and crimes against humanity, establishing principles of international law.",,War & Conflict
523,1947,1947,1947,Post-War,"The Partition of India. British India is divided into the independent nations of India and Pakistan, triggering the largest mass migration in human history and communal violence that kills an estimated one million people.",,Politics & Power
524,1948-12,1948-12,10 December 1948,Post-War,"The Universal Declaration of Human Rights is adopted by the UN General Assembly, establishing for the first time a global statement of the fundamental rights to which all human beings are entitled.",,Politics & Power
525,1948-05,1948-05,14 May 1948,Post-War,"The State of Israel is proclaimed, followed immediately by war with neighbouring Arab states. The conflict results in Palestinian displacement on a massive scale, setting the stage for decades of conflict.",,War & Conflict
526,1949-10,1949-10,1 October 1949,Post-War,"Mao Zedong proclaims the People's Republic of China in Beijing after the Communist Party defeats the Nationalist government. China becomes a communist state, reshaping the geopolitical balance.",,War & Conflict
527,1950,1953,1950–1953,Post-War,"The Korean War. North Korea invades South Korea; a US-led UN coalition and later China enter the conflict. An armistice ends the fighting but no formal peace treaty is signed, leaving Korea divided.",,War & Conflict
528,1953-03,1953-03,5 March 1953,Post-War,"Joseph Stalin dies. His death ends decades of terror in the Soviet Union and begins a period of de-Stalinisation under Nikita Khrushchev, easing some of the harshest aspects of Soviet rule.",,Politics & Power
529,1954-05,1954-05,17 May 1954,Post-War,"The US Supreme Court rules in Brown v. Board of Education that racial segregation in public schools is unconstitutional, galvanising the Civil Rights Movement in America.",,Politics & Power
530,1955,1968,1955–1968,Post-War,"The American Civil Rights Movement. Led by figures including Martin Luther King Jr., activists use non-violent protest to fight racial segregation and discrimination, achieving major legislative victories.",,Politics & Power
531,1956,1956,1956,Post-War,"The Suez Crisis. Egypt nationalises the Suez Canal; Britain, France, and Israel invade but are forced to withdraw under US and Soviet pressure — a turning point marking the decline of European imperial power.",,Politics & Power
532,1957-10,1957-10,4 October 1957,Post-War,"The Soviet Union launches Sputnik, the world's first artificial satellite. The 'Sputnik moment' shocks the West, accelerates the Space Race, and triggers a major US investment in science and technology.",,Science & Technology
533,1957-03,1957-03,25 March 1957,Post-War,"The Treaty of Rome is signed, establishing the European Economic Community among six founding nations. It is the foundation for what will become the European Union.",,Politics & Power
534,1960,1960,1960,Post-War,"The Year of Africa. Seventeen African nations gain independence from European colonial powers in a single year, part of a sweeping wave of decolonisation that transforms the continent and the world order.",,Politics & Power
535,1961-04,1961-04,12 April 1961,Post-War,"Yuri Gagarin becomes the first human in space, completing a single orbit of Earth in 108 minutes aboard Vostok 1. His flight marks a milestone in the Space Race between the US and USSR.",,Politics & Power
536,1961-08,1961-08,13 August 1961,Post-War,"Construction of the Berlin Wall begins, dividing East and West Berlin. The wall becomes the most potent symbol of the Cold War division between communist Eastern Europe and the democratic West.",,War & Conflict
537,1962-10,1962-10,October 1962,Post-War,"The Cuban Missile Crisis. The US and Soviet Union come to the brink of nuclear war after Soviet missiles are discovered in Cuba. Thirteen days of tense diplomacy end with Soviet withdrawal, averting catastrophe.",,War & Conflict
538,1963-08,1963-08,28 August 1963,Post-War,"Martin Luther King Jr. delivers his 'I Have a Dream' speech to 250,000 people at the March on Washington, becoming the defining statement of the American Civil Rights Movement.",,Politics & Power
539,1963-11,1963-11,22 November 1963,Post-War,"US President John F. Kennedy is assassinated in Dallas, Texas. His death shocks the world and marks the end of the optimistic early 1960s; Lyndon B. Johnson is sworn in as president.",,Politics & Power
540,1968,1968,1968,Post-War,"A year of global upheaval. Martin Luther King and Robert Kennedy are assassinated. Student protests erupt in Paris, Mexico City, and across the US. Soviet tanks crush the Prague Spring in Czechoslovakia.",,Politics & Power
541,1969-07,1969-07,20 July 1969,Post-War,"Apollo 11 lands on the Moon. Astronauts Neil Armstrong and Buzz Aldrin become the first humans to walk on the lunar surface, fulfilling a national goal set by President Kennedy eight years earlier.",,Politics & Power
542,1975-04,1975-04,30 April 1975,Post-War,"Fall of Saigon. North Vietnamese forces capture the South Vietnamese capital, ending the Vietnam War. The US-backed South Vietnam collapses, and Vietnam is reunified under communist rule.",,War & Conflict
543,1979,1979,1979,Post-War,"The Iranian Revolution. Shah Mohammad Reza Pahlavi is overthrown; Ayatollah Khomeini establishes an Islamic Republic. The Soviet Union also invades Afghanistan, triggering a decade-long conflict.",,Science & Technology
544,1986-04,1986-04,26 April 1986,Post-War,The Chernobyl nuclear disaster. An explosion at the Soviet nuclear power plant in Ukraine releases radioactive contamination across Europe. The disaster accelerates the decline of the Soviet Union.,,Science & Technology
545,1989-11,1989-11,9 November 1989,Post-War,"The Fall of the Berlin Wall. East Germany opens its borders; jubilant crowds tear down the Wall. A wave of revolutions topples communist regimes across Eastern Europe, ending the Cold War.",,War & Conflict
546,1989-06,1989-06,4 June 1989,Post-War,"Tiananmen Square massacre. Chinese troops violently suppress pro-democracy protests in Beijing, killing hundreds. The crackdown crushes the democracy movement and strains China's international relations.",,War & Conflict
547,1990-10,1990-10,3 October 1990,Post-War,"German Reunification. East and West Germany are formally reunited for the first time since 1945, following the fall of the Berlin Wall. Nelson Mandela is released from prison in South Africa after 27 years.",,Politics & Power
548,1991-12,1991-12,25 December 1991,Post-War,Dissolution of the Soviet Union. Mikhail Gorbachev resigns as president; fifteen independent republics emerge. The Cold War that dominated global politics for over four decades comes to an end.,,War & Conflict
549,1991,1991,1991,Post-War,"The Gulf War. A US-led coalition liberates Kuwait after Saddam Hussein's Iraq invades the country, marking the first major post-Cold War international military intervention.",,War & Conflict
550,1993-09,1993-09,13 September 1993,Post-War,"The Oslo Accords are signed on the White House lawn by Israeli Prime Minister Yitzhak Rabin and PLO Chairman Yasser Arafat, marking the first formal mutual recognition between Israel and the PLO.",,Politics & Power
551,1994,1994,1994,Post-War,"Nelson Mandela is elected the first Black president of South Africa following the first fully democratic elections, ending the apartheid era after decades of struggle against racial segregation.",,Politics & Power
552,1994-04,1994-04,April–July 1994,Post-War,"The Rwandan Genocide. In 100 days, an estimated 500,000–800,000 Tutsi and moderate Hutu are massacred by Hutu extremists — one of the fastest and most devastating genocides in history.",,War & Conflict
553,1995,1995,1995,Post-War,"The World Wide Web opens to the public. The internet begins its transformation from academic and military tool to a global network that will reshape commerce, communication, politics, and culture.",,Politics & Power
554,1997,1997,1997,Post-War,"Hong Kong is returned to China by Britain after 156 years of colonial rule under the 'one country, two systems' framework. The Asian financial crisis devastates economies across Southeast Asia.",,Politics & Power
555,1998-04,1998-04,10 April 1998,Post-War,"The Good Friday Agreement is signed in Northern Ireland, establishing a power-sharing government and ending most of the violence of The Troubles — three decades of sectarian conflict that killed over 3,500 people.",,Politics & Power
556,2001-09,2001-09,11 September 2001,21st Century,"Terrorist attacks on the United States. Al-Qaeda hijackers crash planes into the World Trade Center and the Pentagon, killing nearly 3,000 people. The attacks reshape global politics and trigger the 'War on Terror'.",,Politics & Power
557,2001-10,2001-10,7 October 2001,21st Century,"US and NATO forces invade Afghanistan, toppling the Taliban regime that harboured al-Qaeda. The conflict becomes the longest war in US history, ending with the Taliban's return to power in 2021.",,War & Conflict
558,2003,2011,2003–2011,21st Century,"The US-led invasion of Iraq removes Saddam Hussein from power. The subsequent occupation triggers an insurgency and sectarian conflict, destabilising the region and killing hundreds of thousands.",,War & Conflict
559,2004-12,2004-12,26 December 2004,21st Century,"Indian Ocean tsunami. A massive undersea earthquake triggers a devastating tsunami across the Indian Ocean, killing over 227,000 people in 14 countries in one of the deadliest natural disasters in recorded history.",,Politics & Power
560,2008,2008,2008,21st Century,"The global financial crisis. The collapse of the US housing market triggers the worst financial crisis since the Great Depression, causing bank failures, recession, and massive unemployment worldwide.",,Politics & Power
561,2008-11,2008-11,4 November 2008,21st Century,"Barack Obama is elected the 44th President of the United States, becoming the first African American to hold the office.",,Politics & Power
562,2010,2012,2010–2012,21st Century,"The Arab Spring. A wave of pro-democracy protests and uprisings sweeps the Arab world, toppling governments in Tunisia, Egypt, Libya, and Yemen, and triggering a devastating civil war in Syria.",,War & Conflict
563,2011-05,2011-05,2 May 2011,21st Century,"Osama bin Laden, founder of al-Qaeda and architect of the 11 September attacks, is killed by US Navy SEALs in a raid on his compound in Abbottabad, Pakistan.",,Politics & Power
564,2011-03,2011-03,11 March 2011,21st Century,"A massive earthquake and tsunami strike Japan, killing nearly 20,000 people and triggering the Fukushima Daiichi nuclear disaster — the worst nuclear accident since Chernobyl.",,Science & Technology
565,2015-12,2015-12,12 December 2015,21st Century,"The Paris Climate Agreement is adopted by 196 countries, committing nations to limit global warming by reducing greenhouse gas emissions. It is the most ambitious international climate accord ever reached.",,War & Conflict
566,2016-06,2016-06,23 June 2016,21st Century,"The Brexit referendum. The United Kingdom votes by 52% to 48% to leave the European Union, triggering years of political turmoil and the eventual UK withdrawal from the EU in 2020.",,Politics & Power
567,2019,2023,2019–2023,21st Century,"The COVID-19 pandemic. A novel coronavirus originating in Wuhan, China, spreads globally, killing an estimated 7 million+ people, causing the worst global economic disruption since World War II, and transforming daily life worldwide.",,War & Conflict
568,2022-02,2022-02,24 February 2022,21st Century,"Russia launches a full-scale invasion of Ukraine, beginning the largest conventional war in Europe since World War II. The conflict triggers global energy and food crises and reshapes European security.",,War & Conflict
569,2022,2023,2022–2023,21st Century,"The rise of generative AI. Tools like ChatGPT and image generators reach mainstream adoption, sparking debate about the future of work, creativity, education, and the nature of intelligence itself.",,Politics & Power
572,2007,2007,2007,21st Century,"Apple introduces the iPhone, launching the smartphone era and transforming how billions of people communicate, consume media, navigate, and interact with technology.",,Politics & Power
